ID	CONCEPT	DATECREATED	DATEMODIFIED	EN_GLOSS	FORM_IN_SOURCE	GUID	LANGUAGE	LANGUAGE_IN_SOURCE	OID	ORDER	ORTHOGRAPHY	POS	PT_GLOSS	REFERENCE	SENSE_ID
70	smoke	2014-04-09T17:15:11Z	2014-04-19T20:29:40Z	smoke	iwí	947d5abe-ecb7-4cb6-9ef1-1161c3997b63	ijc	ijc	iwi_947d5abe-ecb7-4cb6-9ef1-1161c3997b63		iwi		fumaça		e5df1052-900b-490e-9252-d3ffb0f2e772
71	kill	2014-04-13T15:12:29Z	2014-04-19T02:11:16Z	kill	pab	94bab3a0-3031-42ba-8ecc-914fa972c0c9	ijc	ijc	pap_94bab3a0-3031-42ba-8ecc-914fa972c0c9		pap		matar		04a0bc59-4619-4211-ba06-1c3aa79ef118
72	egg	2014-04-09T18:05:24Z	2014-04-19T20:02:15Z	egg	ĕreyén	95ca396a-1e48-4cee-a4e7-5d349a65adc9	ijc	ijc	erejen_95ca396a-1e48-4cee-a4e7-5d349a65adc9		erejen		ovo		003df8f6-eb29-4993-b342-9367b6c60e56
73	let's go	2014-04-09T18:51:51Z	2014-04-19T02:10:17Z	let's go	tipam	99c2cb5d-4b22-442e-88b6-e33f743a19f9	ijc	ijc	tipam_99c2cb5d-4b22-442e-88b6-e33f743a19f9		tipam		vamos embora		69537f42-357b-4e3e-bbe8-42fa56b0ca8a
74	hair	2014-04-09T16:18:21Z	2014-12-07T18:39:18Z	hair	üvene	9a8703ac-a03e-4be0-9577-a225b8300a7b	ijc	ijc	üvene_9a8703ac-a03e-4be0-9577-a225b8300a7b		üvene		pelo		91362bf2-572a-4a53-9d2f-dbf07671d7ed" order="2
75	capuchin monkey	2014-04-09T18:00:14Z	2014-04-19T20:18:54Z	capuchin monkey	yuín	9ac7a70e-879c-401c-a7bd-d3145f77c912	ijc	ijc	juin_9ac7a70e-879c-401c-a7bd-d3145f77c912		juin		macaco prego		becb752c-9cd6-46f2-ad21-dc2268650a2f
76	bad	2014-04-09T18:48:24Z	2014-04-19T20:23:37Z	bad	patraumí	9db8098a-2a04-4801-980b-2ec50e83e91b	ijc	ijc	patraumi_9db8098a-2a04-4801-980b-2ec50e83e91b		patraumi		ruim		5e61ff22-19e4-4486-ba37-cc894e061d0a
77	firewood	2014-04-09T17:07:51Z	2014-04-19T20:34:15Z	firewood	isé	9e6930fd-7747-48f1-b1f5-13ff9fc5f04b	ijc	ijc	ise_9e6930fd-7747-48f1-b1f5-13ff9fc5f04b		ise		lenha		59929d1b-030e-4fb1-9ff5-0ced42a48565" order="1
78	my house	2014-04-09T19:05:37Z	2014-04-19T02:05:21Z	my house	asrü	a05b80da-4621-462f-9b87-20213d2b2951	ijc	ijc	asrǘ_a05b80da-4621-462f-9b87-20213d2b2951		asrǘ		minha casa		00cfb899-91ff-456e-beb0-a3c12dcad817
79	cold	2014-04-09T18:46:16Z	2014-04-19T20:15:38Z	cold	kasökrekā́o	a22ab95a-7a4a-4949-94ad-e93adbc1cedd	ijc	ijc	kasokrekaw_a22ab95a-7a4a-4949-94ad-e93adbc1cedd		kasokrekaw		frio		5aaaac5c-eb1c-4c0b-a192-8050b17493db
80	Arikem	2014-04-09T17:41:39Z	2014-04-19T20:25:27Z	Arikem	kukakrapā́	a319d224-9c89-4562-b70c-9325223cd413	ijc	ijc	kukakrapa_a319d224-9c89-4562-b70c-9325223cd413		kukakrapa		Arikém		1dd6981d-4b16-4a35-a64f-9d29e3654a8b
81	agouti	2014-04-09T18:02:51Z	2014-04-19T20:26:06Z	agouti	tapíu	a6a4f098-d5cc-4c18-a88d-eab8e14f8541	ijc	ijc	tapiw_a6a4f098-d5cc-4c18-a88d-eab8e14f8541		tapiw		cutia		6e4aab28-200d-48f9-b4be-22fdfd925eb2
82	corn	2014-04-09T18:17:33Z	2014-04-19T20:06:28Z	corn	mapág	a81159e9-f18d-4cb9-bba2-628bb3b127dd	ijc	ijc	mapak_a81159e9-f18d-4cb9-bba2-628bb3b127dd		mapak		milho		5106ea3a-6f1f-411f-b589-3c3780f7bbca
83	three	2014-04-13T15:33:02Z	2014-04-18T23:43:28Z	three	munim piá	a85f9235-2168-4d2f-bf29-d54a72a88028	ijc	ijc	munim pia_a85f9235-2168-4d2f-bf29-d54a72a88028		munim pia		três		409bb0b8-5a61-4352-a18e-84950694b780
84	woman	2014-04-09T17:36:32Z	2014-04-18T23:27:05Z	woman	yamrá	afa95a88-fee6-460b-9de9-273621b71e67	ijc	ijc	jamra_afa95a88-fee6-460b-9de9-273621b71e67		jamra		mulher		14950d84-fc3f-4580-b9bb-8d5f86de9e8b
85	black	2014-04-09T18:49:16Z	2014-04-19T20:20:53Z	black	kaskáid	b10f289b-c522-4284-a02c-010e8a7eeee7	ijc	ijc	kaskájt_b10f289b-c522-4284-a02c-010e8a7eeee7		kaskájt		preto		7485cc63-5d38-459d-8644-c5e2e44e5deb
86	red macaw	2014-04-09T18:12:31Z	2014-04-19T20:31:19Z	red macaw	tramín	b16e7773-cabb-4bf3-b261-501dbde69bf0	ijc	ijc	tramin_b16e7773-cabb-4bf3-b261-501dbde69bf0		tramin		arara vermelho		ee90ac11-bb49-476c-9212-fb14f0da7130
87	manioc	2014-04-09T18:20:37Z	2014-04-19T02:08:20Z	manioc	akṓb	b3fa3d90-6b65-40bf-af29-2c3274cc884d	ijc	ijc	akop_b3fa3d90-6b65-40bf-af29-2c3274cc884d		akop		mandioca		7f74eabc-93ad-435c-a6dd-8b9d0c89ccab
88	arrow	2014-04-09T17:22:28Z	2014-04-19T20:24:44Z	arrow	kiṓ	b5fa6860-942d-4f76-8755-d15c80f44d26	ijc	ijc	kio_b5fa6860-942d-4f76-8755-d15c80f44d26		kio		flecha		945610b1-4901-4b60-998b-0fdd4759b681
89	arc 	2014-04-09T17:16:43Z	2014-04-19T20:25:41Z	arc 	mapíp	b8a309aa-6cbe-4dc0-8485-66f76b5f00c5	ijc	ijc	mapip_b8a309aa-6cbe-4dc0-8485-66f76b5f00c5		mapip		arco		f59541f5-0c20-49b9-a2b2-51c5016d6b1d
90	mouth	2014-04-09T16:30:23Z	2014-04-21T13:12:05Z	mouth	tupaka	b8d4cf8d-8e33-40e7-a345-b8e26a290693	ijc	ijc	tupaka_b8d4cf8d-8e33-40e7-a345-b8e26a290693		tupaka		boca		7a93b96c-159d-4618-a508-ae9381247b29
91	gourd	2014-04-09T17:25:45Z	2014-04-19T19:50:58Z	gourd	oru̥m	bad65cb7-b388-4f50-aefe-1eb53b1d527c	ijc	ijc	orym_bad65cb7-b388-4f50-aefe-1eb53b1d527c		orym		cuia		dc0711d7-648a-43ae-a83a-350dd079a109
92	testicles	2014-04-09T16:27:16Z	2014-04-21T13:16:09Z	testicles	tura	bae32220-53eb-4590-8aa7-731aa49c9b4a	ijc	ijc	tura_bae32220-53eb-4590-8aa7-731aa49c9b4a		tura		testiculos		5bcc03ee-1e72-4f6f-8ede-eb2100275fed
93	hot	2014-04-09T18:33:47Z	2014-04-19T02:16:34Z	hot	tiná	bccf75a5-c48d-4a0a-aa49-176ad9150cda	ijc	ijc	tina_bccf75a5-c48d-4a0a-aa49-176ad9150cda		tina		quente		8fea08d3-4ad5-4361-a058-04046b07bdcc
94	fish	2014-04-09T18:07:58Z	2014-04-19T19:55:20Z	fish	ihã́m	c3414492-a05c-44a2-a433-cc9b94ce8cdf	ijc	ijc	iham_c3414492-a05c-44a2-a433-cc9b94ce8cdf		iham		peixe		928b3f98-4877-4aa7-9e54-a5290cea9e35
95	head	2014-04-09T16:16:42Z	2014-04-21T13:15:01Z	head	üpirĭ	c367514d-19ee-4aed-9a07-536362a8ac9b	ijc	ijc	üpiri_c367514d-19ee-4aed-9a07-536362a8ac9b		üpiri		cabeça		23d6afed-4b3b-4fbb-be58-c1750a764022
96	big pacú	2014-04-09T18:08:50Z	2014-04-19T20:21:14Z	big pacú	oyū̥b	c37c91f3-726d-48d8-bf39-cdc90be40171	ijc	ijc	ojyp_c37c91f3-726d-48d8-bf39-cdc90be40171		ojyp		pacú grande		80516a64-7415-4761-af58-7e77cb25a8b0
97	3sg.m.P	2014-04-13T15:14:22Z	2014-04-19T20:27:17Z	3sg.m.P	on	c6216e9e-a24d-4b33-a82b-553f1e320fd8	ijc	ijc	-on_c6216e9e-a24d-4b33-a82b-553f1e320fd8		-on		 3sg.m.P		9e3c383a-ae25-480c-b7bc-c026a4c47359
98	louse	2014-04-09T18:16:06Z	2014-04-19T02:10:01Z	louse	iw	c679480a-c0c0-47b8-a91d-fff2453fdf8e	ijc	ijc	iw_c679480a-c0c0-47b8-a91d-fff2453fdf8e		iw		piolho		e95567be-258c-4452-ad4f-e3cd85e69c17
99	brocket deer	2014-04-09T18:02:24Z	2014-04-19T20:19:40Z	brocket deer	yemṍb	c7905995-f22a-4df3-b2fa-77fc32adcdc8	ijc	ijc	jemõp_c7905995-f22a-4df3-b2fa-77fc32adcdc8		jemõp		veado mateiro		66e6eaf1-5bcf-4eeb-bec4-70b167ff0ec7
100	imp	2014-04-13T15:13:26Z	2014-04-19T02:14:28Z	imp	er	c80daf5d-6d35-4628-853b-d19298e00741	ijc	ijc	=er_c80daf5d-6d35-4628-853b-d19298e00741		=er		imp		367f32fc-b2d1-4b07-a08c-7de318219b0d
101	ear	2014-04-09T16:32:12Z	2014-04-21T13:13:53Z	ear	trai	c925658f-12f8-416f-9a9d-fa3ee49d3969	ijc	ijc	trai_c925658f-12f8-416f-9a9d-fa3ee49d3969		trai		orelha		3a533475-c66f-43aa-9955-49cd79ee0c41
102	chicken	2014-04-09T18:13:40Z	2014-04-19T20:17:04Z	chicken	enaintuá	ca4a01c1-ea58-4719-a6ad-837654208734	ijc	ijc	enaintua_ca4a01c1-ea58-4719-a6ad-837654208734		enaintua		galinha		fd466f30-25d7-4769-96b2-db55d0881ca1
