# Wordlist

# DATA
ID	CONCEPT	DATECREATED	DATEMODIFIED	EN_GLOSS	FORM_IN_SOURCE	GUID	DOCULECT	LANGUAGE_IN_SOURCE	OID	ORDER	COUNTERPART	POS	PT_GLOSS	REFERENCE	SENSE_ID
246	Urupá	2014-04-07T18:52:39Z	2014-04-19T22:23:26Z	Urupá	te̩waké̩m	e24636db-7faa-4d09-a22e-5b7970834968	trz	trz	te&apos;wake&apos;m_e24636db-7faa-4d09-a22e-5b7970834968		te'wake'm		Urupá		304ae625-31a2-46b3-a0a9-37ba8fa8ca92
#
75	achiote	2014-04-08T15:56:19Z	2014-04-20T20:16:38Z	achiote	mawį́dn 	4490c034-65db-466b-86fd-1a02e1e42e62	trz	trz	mawi&apos;n_4490c034-65db-466b-86fd-1a02e1e42e62		mawi'n		urucú		dc842397-9fb9-439d-90e2-9e36fcee24d1
#
249	acánga piránga in the Acará river	2014-04-07T17:33:08Z	2014-04-20T20:17:26Z	acánga piránga in the Acará river	mamupá̩k	e449597a-fc71-4ab3-a617-60470aefebcd	trz	trz	mamupa&apos;k_e449597a-fc71-4ab3-a617-60470aefebcd		mamupa'k		acánga piránga no rio Acará		452eb838-4fe2-4dce-bf3f-5074471ffa55
#
150	agouti	2014-04-08T13:26:11Z	2014-04-20T20:16:10Z	agouti	tapí	8593a280-17eb-4be3-b985-c2a6dc351ff2	trz	trz	tapi_8593a280-17eb-4be3-b985-c2a6dc351ff2		tapi		cutia		320ec5f4-8cf0-40d7-a97c-0c0ef43a31c5
#
132	alligator	2014-04-08T14:05:11Z	2014-04-20T20:15:43Z	alligator	ahóp	712bc816-b14a-4859-8e83-fbc96c367d51	trz	trz	ahop_712bc816-b14a-4859-8e83-fbc96c367d51		ahop		jacaré		486a3e76-6c62-4de1-8d9f-29c028912cfd
#
19	anaconda	2014-04-08T14:29:19Z	2014-04-20T20:15:22Z	anaconda	makazetóp	0c50927c-f345-4800-b9b8-31497b74cf2d	trz	trz	makazetop_0c50927c-f345-4800-b9b8-31497b74cf2d		makazetop		sucurijú		7d44dfa6-2e1f-4065-b56e-01d4456ce96e
#
64	another	2014-04-28T14:34:14Z	2014-04-28T14:34:36Z	another	vini	37ed7832-db39-47db-8b9d-042e55d019b7	trz	en	vini_37ed7832-db39-47db-8b9d-042e55d019b7		vini		um outro		e8c39a5c-5a7a-4bdf-bf1f-5baddc97e4a3
#
181	ant	2014-04-08T14:55:54Z	2014-04-20T20:14:58Z	ant	pakipí	a1306fb9-0fbf-472c-8437-9a953a1cd745	trz	trz	pakipi_a1306fb9-0fbf-472c-8437-9a953a1cd745		pakipi		formiga		bbd4e25a-9729-4ce4-a0a0-9761cfd7d936
#
153	anteater	2014-04-07T19:42:46Z	2014-04-20T20:14:14Z	anteater	pičočó	8928577c-94c6-4bba-964b-d282d43584b4	trz	trz	pitxotxo_8928577c-94c6-4bba-964b-d282d43584b4		pitxotxo		tamanduá		b3b92249-dd71-4428-b466-9f8e0b42e07f
#
272	arm	2014-04-06T16:48:16Z	2014-04-20T20:11:11Z	arm	tipará	f9709e81-ac8c-40da-a3f8-e28820f0e1a2	trz	trz	tipara_f9709e81-ac8c-40da-a3f8-e28820f0e1a2		tipara		braço		fa7acce0-6c60-4db7-be3e-35872caab7d8
#
124	armadillo	2014-04-08T13:27:10Z	2014-04-20T20:10:35Z	armadillo	okarí	6a2e47bf-a936-4bb9-be46-e1fb50023b51	trz	trz	okari_6a2e47bf-a936-4bb9-be46-e1fb50023b51		okari		tatú		cd5062d3-4ab3-43db-8f43-71d0297ca299
#
55	arrow	2014-04-06T21:39:17Z	2014-04-20T20:10:14Z	arrow	awax̣í	2bbcc8a8-e980-453b-af10-e880ed6607e6	trz	trz	awaxi_2bbcc8a8-e980-453b-af10-e880ed6607e6		awaxi		flecha		3bb17b1a-dd79-4024-81e8-b837d136e37c
#
174	ash	2014-04-06T19:37:28Z	2014-04-20T20:09:51Z	ash	murootón	99bd553b-313a-4506-8995-0a031dbc402d	trz	trz	murooton_99bd553b-313a-4506-8995-0a031dbc402d		murooton		cinza		e051ff02-7063-42ca-83b9-551fbfd86d70
#
69	ax	2014-04-06T20:18:47Z	2014-04-20T20:09:30Z	ax	įkį́t	3dafb44d-4966-4abf-a472-38ecc9e62ffd	trz	trz	i&apos;ki&apos;t_3dafb44d-4966-4abf-a472-38ecc9e62ffd		i'ki't		machado		a18ba464-eeeb-4609-a35c-c99c7152cbf4
#
1	back	2014-04-06T16:22:22Z	2014-04-20T20:07:44Z	back	wuritibm	00e15d59-4db1-4095-80b4-a4b78254563f	trz	trz	wuritim_00e15d59-4db1-4095-80b4-a4b78254563f		wuritim		costas		3ee227c0-22c1-4b71-8fc8-922d0b4ff445
247	back	2014-04-23T13:34:12Z	2014-04-23T13:35:30Z	back	uritimú̃	e2dee79f-0b00-4560-891f-4790103da34d	trz	en	uritimu_e2dee79f-0b00-4560-891f-4790103da34d		uritimu		costas		df9a523a-cae4-42dc-a9ec-b2032823a10b
#
204	bad	2014-04-25T15:01:22Z	2014-04-25T15:02:01Z	bad	šatidini	c2a45c97-1052-46e1-8a71-cca73935d3d8	trz	en	xatidini_c2a45c97-1052-46e1-8a71-cca73935d3d8		xatidini		ruim		b52d21b9-edbd-41a2-b206-323ea771c8a7
#
257	banana	2014-04-08T15:38:03Z	2014-04-20T20:07:14Z	banana	itirí	e8559fe8-9947-4097-9106-20d65a99492f	trz	trz	itiri_e8559fe8-9947-4097-9106-20d65a99492f		itiri		banana		6baa3216-7934-47b9-b30b-244d523cfb6e
#
248	basket	2014-04-06T21:25:22Z	2014-04-20T20:06:37Z	basket	toxóp	e375d647-9503-49a4-ae36-a950691fd5b7	trz	trz	toxop_e375d647-9503-49a4-ae36-a950691fd5b7		toxop		balaio		ee2e57f9-7a01-4d0f-b4f1-4ca58941150e
#
185	bat	2014-04-07T19:49:27Z	2014-04-20T20:06:05Z	bat	įynáũ	ad05a644-548d-4052-8885-dce6a7f47c47	trz	trz	i&apos;jnáũ_ad05a644-548d-4052-8885-dce6a7f47c47		i'jnáũ		morcego		bb1fe8e9-b099-4aa3-ab91-34ebb58d6248
#
37	bee	2014-04-08T14:55:03Z	2014-04-20T20:05:46Z	bee	tu̥šį́	16b9f1d8-3e48-4592-b941-983a393b1cee	trz	trz	tyxi&apos;_16b9f1d8-3e48-4592-b941-983a393b1cee		tyxi'		abelha		a159c1ba-9518-4acf-ab6c-c74f0658341a
61	bee	2014-04-08T14:53:38Z	2014-04-20T20:05:28Z	bee	tawį́	3455678e-25f7-472c-aacb-7033a0f5d9ca	trz	trz	tawi&apos;_3455678e-25f7-472c-aacb-7033a0f5d9ca		tawi'		abelha		e7be10fb-626b-40cf-8da9-8747f61819f2
#
250	beijú	2014-04-07T16:55:18Z	2014-04-20T20:03:46Z	beijú	tu̥pawá	e4b712eb-f2e7-4631-82ce-6deade1a0444	trz	trz	typawa_e4b712eb-f2e7-4631-82ce-6deade1a0444		typawa		beijú		86202543-8ca6-42cf-834e-5f59a4224847
#
6	belly	2014-04-06T15:33:17Z	2014-04-20T19:43:57Z	belly	tosibm	05bc687d-37dd-42c3-97ad-efa7ccf3427e	trz	trz	tosim_05bc687d-37dd-42c3-97ad-efa7ccf3427e		tosim		barriga		e37f66b3-98d4-4419-949f-dd5fa5d65f40
212	belly	2014-04-22T17:37:25Z	2014-04-22T17:38:16Z	belly	tosi̩pá	c506cd7d-2741-4de1-87ad-7acb5065ccc3	trz	en	tosi&apos;pa_c506cd7d-2741-4de1-87ad-7acb5065ccc3		tosi'pa		barriga		5c79d9bb-27a4-4165-a10f-b1fdb250d906
#
65	belt	2014-04-07T16:48:11Z	2014-04-20T19:43:28Z	belt	tukuripá	3856b52a-2d06-4e71-9a44-fd2cac553346	trz	trz	tukuripa_3856b52a-2d06-4e71-9a44-fd2cac553346		tukuripa		cinto		dadab0e9-0276-46b2-9749-023912c77cb3
#
165	belt of Orion	2014-04-06T17:00:46Z	2014-04-20T19:42:51Z	belt of Orion	trakamįn	9444f34c-ac84-43ff-9b36-062180db3ec7	trz	trz	trakami&apos;n_9444f34c-ac84-43ff-9b36-062180db3ec7		trakami'n		cinto de Orion		2cb37a17-9396-4758-ac95-fb59e58a6203
#
93	bench	2014-04-06T21:07:20Z	2014-04-20T19:42:35Z	bench	pe̩pe̩dyém	4d71f82f-dec8-4441-abf0-cefb80a4774f	trz	trz	pe&apos;pe&apos;djem_4d71f82f-dec8-4441-abf0-cefb80a4774f		pe'pe'djem		banco		d41b483c-619a-42ee-96ae-ff966ff20aa9
172	bench	2014-04-06T21:02:12Z	2014-04-20T19:42:13Z	bench	mįrapiwá	9914ba48-4e47-4cc3-906d-106855c45000	trz	trz	mi&apos;rapiwa_9914ba48-4e47-4cc3-906d-106855c45000		mi'rapiwa		banco		a377365a-2b7f-4906-a7d7-24ce3ffd5be0
#
10	big	2014-04-26T13:03:45Z	2014-04-26T13:03:58Z	big	ukádnam	075a79ff-2e45-422f-a80f-4ea0a355d7d7	trz	en	ukánam_075a79ff-2e45-422f-a80f-4ea0a355d7d7		ukánam		grande		2e21ea57-1ea7-404c-940c-20192307b89e
193	big	2014-04-26T13:02:39Z	2014-04-26T13:03:10Z	big	ukádnu	b4c00f84-6ac0-4f2d-97c5-7169dadecc26	trz	en	ukánu_b4c00f84-6ac0-4f2d-97c5-7169dadecc26		ukánu		grande		e3521567-73d8-4faa-a0ad-bf9080a02646
